產品代號,產品,單位名稱,幣別,幣別名稱,數量,外幣單價,本幣單價,外幣未稅金額,本幣含稅金額
HUKHA00526,單人票,個,NTD,新台幣,17,752.4118,752.4118,"12,791","13,430"
HUKHA00626,三人票,個,NTD,新台幣,16,"2,143.0000","2,143.0000","34,288","36,000"
HUKHA00726,愛心票,個,NTD,新台幣,9,376.1111,376.1111,"3,385","3,555"
HUKHB00125,卡片徽章組（3個一組）,個,NTD,新台幣,3,238.0000,238.0000,714,750
HUKHB00126,獵人執照一卡通,個,NTD,新台幣,48,379.9792,379.9792,"18,239","19,152"
HUKHB00225,生命之音刺繡徽章,個,NTD,新台幣,1,143.0000,143.0000,143,150
HUKHB00325,獵人貼紙組（6入一組）,個,NTD,新台幣,7,94.1429,94.1429,659,693
HUKHB00425,風險骰子,個,NTD,新台幣,58,457.0690,457.0690,"26,510","27,840"
HUKHB00525,獵人執照USB隨身碟(32G),個,NTD,新台幣,5,276.0000,276.0000,"1,380","1,450"
HUKHB00625,壓克力場景組 A款（一坪海岸線）,個,NTD,新台幣,1,333.0000,333.0000,333,350
HUKHB00925,角色壓克力立牌 (奇犽款）,個,NTD,新台幣,4,209.7500,209.7500,839,880
HUKHB01025,角色壓克力立牌 (西索款）,個,NTD,新台幣,2,210.0000,210.0000,420,440
HUKHB01225,一坪海岸線光柵卡,個,NTD,新台幣,8,238.0000,238.0000,"1,904","2,000"
HUKHB01325,藍色行星金屬紀念卡,個,NTD,新台幣,4,429.0000,429.0000,"1,716","1,800"
HUKHB01425,壓克力徽章組 A款（遊戲入口）,個,NTD,新台幣,1,276.0000,276.0000,276,290
HUKHB01725,壓克力徽章組 B款（一坪海岸線）,個,NTD,新台幣,3,276.0000,276.0000,828,870
HUKHB02025,壓克力卡磚 (3款隨機出貨),個,NTD,新台幣,4,237.7500,237.7500,951,"1,000"
HUKHB02225,雙閃徽章（6款隨機出貨）,個,NTD,新台幣,6,114.1667,114.1667,685,720
HUKHB02325,光柵徽章（6款隨機出貨）,個,NTD,新台幣,17,143.0000,143.0000,"2,431","2,550"
HUKHB02425,卡片鑰匙圈（30款隨機出貨）,個,NTD,新台幣,31,209.7419,209.7419,"6,502","6,820"
HUKHB02525,貪婪之島卡片包（5張一包，隨機出貨）,個,NTD,新台幣,152,142.9079,142.9079,"21,722","22,800"
HUKHB02625,光柵鐳射票（6款隨機出貨）,個,NTD,新台幣,6,142.8333,142.8333,857,900
HUKHB02725,項鏈(聖騎士的首飾),個,NTD,新台幣,4,771.5000,771.5000,"3,086","3,239"
HUKHB02925,角色抱枕 (奇犽款）,個,NTD,新台幣,2,429.0000,429.0000,858,900
HUKHB03025,集卡冊抱枕,個,NTD,新台幣,5,752.4000,752.4000,"3,762","3,950"
HUKHB03125,貪婪之島戒指,個,NTD,新台幣,3,"1,157.6667","1,157.6667","3,473","3,648"
HUKHB03225,貪婪之島Type C隨身碟(32G),個,NTD,新台幣,1,562.0000,562.0000,562,590
HUKHB03425,貪婪之島集卡冊組合包,組,NTD,新台幣,4,810.0000,810.0000,"3,240","3,400"
HUKHC00125,HUNTER 獵人 滑鼠墊 造型隨身 A款 獵人執照,個,NTD,新台幣,2,238.0000,238.0000,476,500
HUKHC00126,素面不織布環保袋(黑),個,NTD,新台幣,17,47.0000,47.0000,799,833
HUKHD00326,磁吸式手機支架(隨機單入),個,NTD,新台幣,4,342.7500,342.7500,"1,371","1,440"
HUKHD00626,角色手機掛繩 - 奇犽款,個,NTD,新台幣,2,428.5000,428.5000,857,900
HUKHD00726,角色手機掛繩 - 比司吉款,個,NTD,新台幣,1,429.0000,429.0000,429,450
HUKHD00826,角色手機掛繩 - 西索款,個,NTD,新台幣,1,429.0000,429.0000,429,450
